 R=[100.0, 28.0, 11.0, 9.6, 8.79]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -527.04425392     -0.00000354       -0.78      0.00000000        0.00      0.0000
   2   1   -526.62169389      0.42255648    92740.43      0.42256002    92741.20     11.4984
   3   1   -526.61941326      0.42483712    93240.97      0.42484066    93241.75     11.5605
   4   1   -526.61308125      0.43116913    94630.68      0.43117266    94631.46     11.7328
   5   1   -526.56850329      0.47574709   104414.42      0.47575063   104415.19     12.9458
   6   1   -526.56810895      0.47614142   104500.96      0.47614496   104501.74     12.9566
   7   1   -526.56810006      0.47615032   104502.91      0.47615385   104503.69     12.9568
   8   1   -526.56581858      0.47843180   105003.64      0.47843534   105004.42     13.0189
   9   1   -526.56581123      0.47843915   105005.26      0.47844269   105006.03     13.0191
  10   1   -526.56169412      0.48255626   105908.86      0.48255979   105909.63     13.1311
  11   1   -526.56132359      0.48292679   105990.18      0.48293032   105990.95     13.1412
  12   1   -526.56131831      0.48293207   105991.34      0.48293561   105992.11     13.1413
  13   1   -526.54954238      0.49470800   108575.86      0.49471154   108576.63     13.4618
 
  14   2   -526.62167601      0.42257437    92744.35      0.42257791    92745.13     11.4989
  15   2   -526.61938402      0.42486635    93247.39      0.42486989    93248.16     11.5613
  16   2   -526.61303134      0.43121904    94641.64      0.43122258    94642.42     11.7342
  17   2   -526.57473138      0.46951900   103047.51      0.46952254   103048.29     12.7764
  18   2   -526.56849560      0.47575478   104416.10      0.47575831   104416.88     12.9460
  19   2   -526.56847584      0.47577454   104420.44      0.47577808   104421.22     12.9466
  20   2   -526.56807684      0.47617354   104508.01      0.47617708   104508.79     12.9574
  21   2   -526.56594778      0.47830259   104975.29      0.47830613   104976.06     13.0154
  22   2   -526.56579953      0.47845084   105007.82      0.47845438   105008.60     13.0194
  23   2   -526.56154121      0.48270917   105942.42      0.48271271   105943.19     13.1353
  24   2   -526.56130415      0.48294623   105994.45      0.48294977   105995.22     13.1417
  25   2   -526.56035963      0.48389075   106201.74      0.48389429   106202.52     13.1674
 
  26   3   -526.62167597      0.42257441    92744.36      0.42257795    92745.14     11.4989
  27   3   -526.61938407      0.42486631    93247.38      0.42486984    93248.15     11.5613
  28   3   -526.61303132      0.43121905    94641.64      0.43122259    94642.42     11.7342
  29   3   -526.57473138      0.46951900   103047.51      0.46952254   103048.29     12.7764
  30   3   -526.56849558      0.47575480   104416.11      0.47575833   104416.88     12.9460
  31   3   -526.56847582      0.47577455   104420.44      0.47577809   104421.22     12.9466
  32   3   -526.56807688      0.47617350   104508.00      0.47617704   104508.78     12.9574
  33   3   -526.56594779      0.47830259   104975.28      0.47830613   104976.06     13.0154
  34   3   -526.56579953      0.47845085   105007.82      0.47845439   105008.60     13.0194
  35   3   -526.56154120      0.48270918   105942.42      0.48271272   105943.20     13.1353
  36   3   -526.56130416      0.48294622   105994.44      0.48294976   105995.22     13.1417
  37   3   -526.56035963      0.48389075   106201.74      0.48389429   106202.52     13.1674
 
  38   4   -526.62169389      0.42255648    92740.43      0.42256002    92741.20     11.4984
  39   4   -526.62166992      0.42258046    92745.69      0.42258400    92746.47     11.4991
  40   4   -526.61574021      0.42851016    94047.11      0.42851370    94047.89     11.6605
  41   4   -526.57473139      0.46951899   103047.51      0.46952253   103048.28     12.7764
  42   4   -526.56849307      0.47575731   104416.66      0.47576085   104417.44     12.9461
  43   4   -526.56849079      0.47575959   104417.16      0.47576313   104417.94     12.9462
  44   4   -526.56806435      0.47618603   104510.75      0.47618957   104511.53     12.9578
  45   4   -526.56594289      0.47830749   104976.36      0.47831102   104977.14     13.0155
  46   4   -526.56580192      0.47844846   105007.30      0.47845200   105008.08     13.0193
  47   4   -526.56154683      0.48270355   105941.18      0.48270709   105941.96     13.1351
  48   4   -526.56129664      0.48295374   105996.09      0.48295728   105996.87     13.1419
  49   4   -526.56035592      0.48389446   106202.56      0.48389800   106203.33     13.1675

--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.94714353     -0.00000355       -0.78      0.00000000        0.00      0.0000
   2   1   -529.52476872      0.42237125    92699.77      0.42237480    92700.55     11.4934
   3   1   -529.52248643      0.42465354    93200.68      0.42465709    93201.46     11.5555
   4   1   -529.51615050      0.43098947    94591.26      0.43099302    94592.03     11.7279
   5   1   -529.47161223      0.47552775   104366.28      0.47553130   104367.06     12.9399
   6   1   -529.47121739      0.47592259   104452.93      0.47592614   104453.71     12.9506
   7   1   -529.47120861      0.47593136   104454.86      0.47593492   104455.64     12.9508
   8   1   -529.46892498      0.47821500   104956.06      0.47821855   104956.84     13.0130
   9   1   -529.46891787      0.47822211   104957.62      0.47822566   104958.40     13.0132
  10   1   -529.46479792      0.48234206   105861.85      0.48234561   105862.63     13.1253
  11   1   -529.46442786      0.48271212   105943.06      0.48271567   105943.84     13.1354
  12   1   -529.46442277      0.48271720   105944.18      0.48272076   105944.96     13.1355
  13   1   -529.45262179      0.49451819   108534.20      0.49452174   108534.98     13.4566
 
  14   2   -529.52475089      0.42238909    92703.69      0.42239264    92704.47     11.4939
  15   2   -529.52245748      0.42468250    93207.03      0.42468605    93207.81     11.5563
  16   2   -529.51610104      0.43103894    94602.11      0.43104249    94602.89     11.7293
  17   2   -529.47780921      0.46933077   103006.20      0.46933432   103006.98     12.7712
  18   2   -529.47160470      0.47553528   104367.93      0.47553883   104368.71     12.9401
  19   2   -529.47158472      0.47555526   104372.31      0.47555881   104373.09     12.9406
  20   2   -529.47118558      0.47595439   104459.91      0.47595794   104460.69     12.9515
  21   2   -529.46905546      0.47808452   104927.42      0.47808807   104928.20     13.0094
  22   2   -529.46890625      0.47823373   104960.17      0.47823728   104960.95     13.0135
  23   2   -529.46464672      0.48249326   105895.03      0.48249681   105895.81     13.1294
  24   2   -529.46440862      0.48273136   105947.29      0.48273491   105948.07     13.1359
  25   2   -529.46346242      0.48367756   106154.95      0.48368111   106155.73     13.1616
 
  26   3   -529.52475093      0.42238905    92703.68      0.42239260    92704.46     11.4939
  27   3   -529.52245743      0.42468255    93207.05      0.42468610    93207.83     11.5563
  28   3   -529.51610105      0.43103892    94602.11      0.43104247    94602.89     11.7293
  29   3   -529.47780921      0.46933077   103006.20      0.46933432   103006.98     12.7712
  30   3   -529.47160472      0.47553526   104367.93      0.47553881   104368.70     12.9401
  31   3   -529.47158473      0.47555525   104372.31      0.47555880   104373.09     12.9406
  32   3   -529.47118555      0.47595443   104459.92      0.47595798   104460.70     12.9515
  33   3   -529.46905545      0.47808452   104927.42      0.47808807   104928.20     13.0094
  34   3   -529.46890625      0.47823372   104960.17      0.47823728   104960.95     13.0135
  35   3   -529.46464673      0.48249325   105895.03      0.48249680   105895.81     13.1294
  36   3   -529.46440861      0.48273137   105947.29      0.48273492   105948.07     13.1359
  37   3   -529.46346242      0.48367756   106154.95      0.48368111   106155.73     13.1616
 
  38   4   -529.52476872      0.42237125    92699.77      0.42237480    92700.55     11.4934
  39   4   -529.52474486      0.42239511    92705.01      0.42239867    92705.79     11.4941
  40   4   -529.51881180      0.42832818    94007.17      0.42833173    94007.95     11.6555
