R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	13A1	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
100.0	4.99027532896e-08	92700.5551461	93201.4598994	94592.0357919	104367.056121	104453.713484	104455.640471	104956.83932	104958.399785	105862.624287	105943.843068	105944.960194	108534.975914	92704.4683788	93207.81369	94602.8910071	103006.976228	104368.708765	104373.093868	104460.694972	104928.202271	104960.95008	105895.808851	105948.06576	106155.732655	92704.4595998	93207.8246637	94602.8888123	103006.976228	104368.704375	104373.091673	104460.701556	104928.204465	104960.95008	105895.806656	105948.067955	106155.732655	92700.5551461	92705.7918108	94007.9479591	103006.974034	104369.299152	104369.738101	104463.451573	104929.20088	104960.476015	105894.588572	105949.696457	106156.535932
28.0	4.99027532896e-08	92700.5551461	93201.4577047	94592.0270129	104367.056121	104453.717873	104455.647055	104956.84371	104958.399785	105862.624287	105943.845263	105944.962389	108534.96494	92704.4266786	93207.7983267	94602.8778386	103006.971839	104368.70657	104373.100452	104460.701556	104928.20666	104960.95008	105895.811046	105948.067955	106155.732655	92704.4332628	93207.787353	94602.8822281	103006.971839	104368.708765	104373.104842	104460.694972	104928.204465	104960.95008	105895.81324	105948.067955	106155.732655	92700.5551461	92705.7457211	94007.9260116	103006.969644	104369.305736	104369.738101	104463.460352	104929.198686	104960.476015	105894.586377	105949.700846	106156.533738
11.0	0.00438954598486	92700.6539097	93201.5652472	94592.1521134	104367.113184	104453.832	104455.739235	104956.997342	104958.461238	105862.738414	105943.990116	105945.023842	108535.252452	92704.5056895	93207.8817271	94602.9722127	103006.936723	104368.781192	104373.124594	104460.778372	104928.320787	104961.013728	105895.861525	105948.173303	106155.835808	92704.5122737	93207.8729481	94602.9766022	103006.936723	104368.785581	104373.128984	104460.771788	104928.316398	104961.013728	105895.86372	105948.171108	106155.835808	92700.6539097	92705.815953	94008.0116067	103006.936723	104369.360605	104369.825891	104463.497663	104929.225022	104960.609895	105894.724646	105949.729378	106156.619333
9.6	0.0131685381491	92701.1630908	93202.0283387	94592.5318045	104367.740882	104454.727457	104456.138679	104958.004731	104958.957251	105863.607533	105945.0831	105945.353054	108536.935822	92704.9380545	93208.3382343	94603.4726148	103007.162782	104369.591053	104373.429664	104461.546533	104929.233801	104961.612894	105896.370706	105949.079733	106156.661033	92704.9468335	93208.3294553	94603.4770043	103007.162782	104369.597637	104373.431859	104461.537754	104929.231607	104961.612894	105896.372901	105949.077538	106156.661033	92701.1630908	92706.2219811	94008.4681139	103007.160587	104369.975134	104370.752074	104463.901496	104929.598129	104961.626062	105895.86372	105950.065174	106157.319457
8.79	0.0987636368961	92702.1726741	93202.9501321	94593.3263027	104369.200388	104456.709313	104457.170209	104960.067792	104960.291656	105865.512573	105946.178279	105947.521463	108540.357431	92705.798395	93209.2600278	94604.4800034	103007.91119	104371.474145	104374.125399	104463.357199	104931.261747	104963.013142	105897.501	105951.177911	106158.528762	92705.815953	93209.2380803	94604.4887824	103007.91119	104371.482924	104374.131983	104463.344031	104931.259552	104963.015337	105897.50539	105951.173521	106158.528762	92702.1726741	92707.0384267	94009.3899074	103007.913385	104371.410498	104372.984131	104464.803537	104930.476028	104963.910793	105898.506194	105950.806998	106158.895285
8.22	0.287511818719	92703.7375283	93204.4008595	94594.5729186	104371.658504	104458.792127	104460.15287	104961.913574	104964.029309	105868.528154	105947.451231	105951.665144	108545.56337	92707.139385	93210.6844181	94606.0097416	103009.368502	104374.068335	104375.920701	104466.309133	104934.540698	104965.396636	105899.342393	105954.579767	106161.586044	92707.174501	93210.6383284	94606.0251048	103009.368502	104374.07492	104375.942649	104466.278406	104934.536309	104965.398831	105899.351172	105954.570988	106161.586044	92703.7375283	92708.315769	94010.8055187	103009.377281	104374.011272	104376.495725	104466.46496	104931.84116	104967.707704	105902.779365	105952.086536	106161.456554
7.77	0.621113271445	92705.8005898	93206.3717416	94596.3770001	104375.134982	104461.175621	104465.209565	104964.602138	104969.485449	105872.748652	105949.264092	105957.825797	108552.702879	92708.9763877	93212.6179896	94608.1232823	103011.72127	104376.179681	104380.075356	104470.716183	104938.98067	104969.149652	105901.824651	105959.585984	106166.098442	92709.0115036	93212.5718999	94608.1386455	103011.72127	104376.186266	104380.097303	104470.685457	104938.978475	104969.151847	105901.83343	105959.577205	106166.098442	92705.8005898	92710.0737608	94012.7193375	103011.741023	104377.573345	104381.947475	104468.679459	104933.880079	104973.19018	105909.049755	105953.78088	106165.198596
7.31	1.25758970432	92709.224394	93209.6572769	94599.4167237	104381.047629	104465.209565	104474.071951	104969.276948	104978.999674	105879.719166	105952.259921	105968.909266	108564.497446	92712.0841484	93215.8837721	94611.680966	103016.167826	104378.719003	104388.395639	104478.496559	104945.916068	104976.552532	105905.854205	105968.290348	106174.197056	92712.1192644	93215.8376824	94611.6963292	103016.167826	104378.723392	104388.417587	104478.463638	104945.911679	104976.554726	105905.865179	105968.283763	106174.197056	92709.224394	92713.073979	94015.9280566	103016.213916	104383.644014	104391.687759	104472.498317	104937.448737	104982.803169	105919.898386	105956.627466	106171.848677
7.1	1.71190217455	92711.4279193	93211.7971545	94601.4424745	104384.84015	104467.891545	104479.96265	104972.382514	104985.35127	105884.106464	105954.197882	105976.476751	108572.010063	92714.1186782	93218.0148708	94613.9986181	103019.266808	104380.255325	104393.979074	104483.700303	104949.958791	104982.054761	105908.35841	105973.992298	106179.756348	92714.1537942	93217.9709758	94614.0117866	103019.266808	104380.264104	104394.001021	104483.667381	104949.952207	104982.056955	105908.369384	105973.983519	106179.756348	92711.4279193	92715.0492507	94018.0152603	103019.330455	104387.552857	104398.252245	104475.02886	104939.819063	104989.224997	105926.987417	105958.457884	106176.37205
6.83	2.50859503977	92715.0668087	93215.357033	94604.8618892	104390.974466	104472.441254	104489.839008	104977.614789	104996.136253	105891.138431	105957.395627	105989.531102	108584.250163	92717.5315087	93221.5923072	94617.8679558	103024.657105	104382.724415	104403.328693	104492.523183	104955.913137	104992.242773	105912.341875	105983.377034	106189.479074	92717.5666247	93221.5462175	94617.8811243	103024.657105	104382.730999	104403.348446	104492.492456	104955.908748	104992.247162	105912.350654	105983.370449	106189.479074	92715.0668087	92718.3874598	94021.5005174	103024.753673	104393.891284	104409.423504	104479.308615	104943.824475	105000.119717	105938.676636	105961.477855	106184.233631
