R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	13A1
100.0	4.99027532896e-08	92700.5551461	93201.4598994	94592.0357919	104367.056121	104453.713484	104455.640471	104956.83932	104958.399785	105862.624287	105943.843068	105944.960194	108534.975914
28.0	4.99027532896e-08	92700.5551461	93201.4577047	94592.0270129	104367.056121	104453.717873	104455.647055	104956.84371	104958.399785	105862.624287	105943.845263	105944.962389	108534.96494
11.0	0.00438954598486	92700.6539097	93201.5652472	94592.1521134	104367.113184	104453.832	104455.739235	104956.997342	104958.461238	105862.738414	105943.990116	105945.023842	108535.252452
9.6	0.0131685381491	92701.1630908	93202.0283387	94592.5318045	104367.740882	104454.727457	104456.138679	104958.004731	104958.957251	105863.607533	105945.0831	105945.353054	108536.935822
8.79	0.0987636368961	92702.1726741	93202.9501321	94593.3263027	104369.200388	104456.709313	104457.170209	104960.067792	104960.291656	105865.512573	105946.178279	105947.521463	108540.357431
8.22	0.287511818719	92703.7375283	93204.4008595	94594.5729186	104371.658504	104458.792127	104460.15287	104961.913574	104964.029309	105868.528154	105947.451231	105951.665144	108545.56337
7.77	0.621113271445	92705.8005898	93206.3717416	94596.3770001	104375.134982	104461.175621	104465.209565	104964.602138	104969.485449	105872.748652	105949.264092	105957.825797	108552.702879
7.31	1.25758970432	92709.224394	93209.6572769	94599.4167237	104381.047629	104465.209565	104474.071951	104969.276948	104978.999674	105879.719166	105952.259921	105968.909266	108564.497446
7.1	1.71190217455	92711.4279193	93211.7971545	94601.4424745	104384.84015	104467.891545	104479.96265	104972.382514	104985.35127	105884.106464	105954.197882	105976.476751	108572.010063
6.83	2.50859503977	92715.0668087	93215.357033	94604.8618892	104390.974466	104472.441254	104489.839008	104977.614789	104996.136253	105891.138431	105957.395627	105989.531102	108584.250163
6.6	3.47867292537	92719.0853891	93219.353666	94608.8102378	104397.453357	104477.598908	104500.823713	104983.498904	105008.341237	105898.550089	105960.896247	106004.554141	108597.477899
6.39	4.65066745609	92723.6921616	93223.973607	94613.4521263	104404.421677	104483.654213	104513.362299	104990.324565	105022.640009	105906.637729	105964.864349	106022.327196	108612.285852
6.2	6.00482592452	92728.8322574	93229.1751557	94618.7590228	104411.558992	104490.517185	104527.136527	104997.986424	105038.850405	105915.195045	105969.214336	106042.58251	108628.325058
6.02	7.61576971413	92734.7427092	93235.2150975	94625.020634	104418.953092	104498.497282	104542.600709	105006.835641	105057.758145	105924.535885	105974.121788	106066.200175	108646.179319
5.86	9.36937200166	92741.0284626	93241.6917938	94631.8243475	104425.923606	104506.986561	104558.51262	105016.259882	105078.072717	105933.993047	105979.231158	106091.463899	108664.492282
5.75	10.7849833903	92746.0149262	93246.8604214	94637.313408	104430.86837	104513.645421	104570.697851	105023.732993	105094.280918	105941.200594	105983.205843	106111.488765	108678.56719
5.58	13.4186789187	92754.9738806	93256.2122354	94647.3565671	104438.642161	104525.341224	104591.600615	105037.149477	105123.519328	105953.633832	105990.213668	106147.269714	108703.029832
