R	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
100.0	92700.5551461	92705.7918108	94007.9479591	103006.974034	104369.299152	104369.738101	104463.451573	104929.20088	104960.476015	105894.588572	105949.696457	106156.535932
28.0	92700.5551461	92705.7457211	94007.9260116	103006.969644	104369.305736	104369.738101	104463.460352	104929.198686	104960.476015	105894.586377	105949.700846	106156.533738
11.0	92700.6539097	92705.815953	94008.0116067	103006.936723	104369.360605	104369.825891	104463.497663	104929.225022	104960.609895	105894.724646	105949.729378	106156.619333
9.6	92701.1630908	92706.2219811	94008.4681139	103007.160587	104369.975134	104370.752074	104463.901496	104929.598129	104961.626062	105895.86372	105950.065174	106157.319457
8.79	92702.1726741	92707.0384267	94009.3899074	103007.913385	104371.410498	104372.984131	104464.803537	104930.476028	104963.910793	105898.506194	105950.806998	106158.895285
8.22	92703.7375283	92708.315769	94010.8055187	103009.377281	104374.011272	104376.495725	104466.46496	104931.84116	104967.707704	105902.779365	105952.086536	106161.456554
7.77	92705.8005898	92710.0737608	94012.7193375	103011.741023	104377.573345	104381.947475	104468.679459	104933.880079	104973.19018	105909.049755	105953.78088	106165.198596
7.31	92709.224394	92713.073979	94015.9280566	103016.213916	104383.644014	104391.687759	104472.498317	104937.448737	104982.803169	105919.898386	105956.627466	106171.848677
7.1	92711.4279193	92715.0492507	94018.0152603	103019.330455	104387.552857	104398.252245	104475.02886	104939.819063	104989.224997	105926.987417	105958.457884	106176.37205
6.83	92715.0668087	92718.3874598	94021.5005174	103024.753673	104393.891284	104409.423504	104479.308615	104943.824475	105000.119717	105938.676636	105961.477855	106184.233631
6.6	92719.0853891	92722.1580339	94025.3939974	103030.997727	104400.607208	104422.049879	104484.148031	104948.330289	105012.449802	105951.335932	105964.778753	106193.436202
6.39	92723.6921616	92726.5826425	94029.9063958	103038.3611	104407.863039	104436.75029	104489.81706	104953.571343	105026.886843	105965.336219	105968.516406	106204.65794
6.2	92728.8322574	92731.6283642	94034.9960124	103046.681384	104415.327371	104453.248198	104496.256446	104959.481795	105043.246482	105974.044972	105978.69125	106217.997608
6.02	92734.7427092	92737.556374	94040.9130485	103056.289983	104423.094578	104472.228364	104503.758089	104966.353546	105062.316633	105978.978762	105994.159822	106234.394557
5.86	92741.0284626	92743.9935649	94047.2712285	103066.449464	104430.446978	104492.277371	104511.764524	104973.747646	105082.793616	105984.112274	106009.119213	106253.010396
5.75	92746.0149262	92749.1819451	94052.3586504	103074.418587	104435.712175	104507.969807	104518.081003	104979.67785	105099.126918	105988.108907	106019.906391	106268.566757
5.58	92754.9738806	92758.6698334	94061.5787796	103088.451795	104444.021484	104530.940022	104533.935851	104990.513313	105128.56505	105995.140874	106037.040775	106298.04659
5.45	92762.929836	92767.3127443	94069.8771154	103100.680922	104450.397222	104540.713227	104557.992465	105000.468682	105154.994185	106001.308111	106050.222422	106325.869388
5.33	92771.4213094	92776.6140791	94078.7746169	103113.180002	104456.235247	104550.565443	104582.648245	105011.299755	105182.810399	106007.72116	106062.267189	106356.286377
5.21	92781.0913616	92787.359557	94088.9823819	103126.86205	104461.976704	104561.100226	104609.648014	105024.090737	105214.247945	106014.915538	106074.039808	106391.779815
5.1	92791.1213522	92798.6559162	94099.6488489	103140.432167	104467.110215	104571.237759	104636.349297	105037.985675	105246.493158	106022.300859	106084.513138	106429.171707
5.0	92801.3378962	92810.2990454	94110.5852698	103153.670876	104471.642366	104580.738815	104662.098061	105052.945066	105278.83055	106029.793723	106093.772772	106467.496367
4.9	92812.7176558	92823.4060702	94122.8407331	103167.594347	104476.003327	104590.380336	104688.821292	105070.568879	105314.139629	106038.153512	106102.731727	106510.149067
4.81	92824.0666889	92836.600885	94135.1291177	103180.701372	104479.754149	104599.071531	104713.378308	105089.298844	105348.485213	106046.561585	106110.573555	106552.391349
4.72	92836.5723533	92851.2047269	94148.7036235	103194.273683	104483.294274	104607.670547	104737.955077	105111.327512	105385.207709	106055.974852	106118.217857	106598.40201
4.64	92848.7510005	92865.5759256	94162.0081756	103206.647662	104486.23304	104615.115127	104759.351659	105134.179211	105419.722289	106065.370561	106124.848185	106642.531774
4.55	92863.7674547	92883.3994604	94178.4731623	103220.86084	104489.248621	104623.231299	104782.493064	105164.133108	105460.448001	106077.358265	106132.20278	106695.866304
4.48	92876.4925938	92898.567352	94192.4668647	103232.032098	104491.342409	104629.253682	104799.440895	105190.865118	105493.263848	106087.95889	106137.847668	106740.059715
4.4	92892.2508722	92917.4158333	94209.8404764	103244.829664	104493.416444	104635.741353	104817.374167	105225.353362	105531.619234	106101.759454	106144.256327	106793.468867
4.33	92907.1861208	92935.3205736	94226.3405791	103255.968001	104494.904482	104641.010938	104831.61807	105259.077833	105565.534649	106115.636835	106149.861709	106842.701416
4.26	92923.2626374	92954.6233673	94244.1311926	103266.952707	104496.034777	104645.819627	104844.391494	105296.085646	105599.3096	106131.548746	106155.500012	106894.203332
4.19	92940.5704068	92975.4120042	94263.2979121	103277.687211	104496.756848	104650.110357	104855.63079	105336.240724	105632.417348	106149.89463	106161.239274	106947.893411
4.12	92959.1686869	92997.7589111	94283.9197483	103288.07714	104497.009244	104653.795336	104865.307426	105379.290673	105664.249948	106171.080516	106167.149726	107003.637772
4.06	92976.2372288	93018.2249203	94302.8384614	103296.619092	104496.807327	104656.424642	104872.372314	105418.225472	105690.055775	106179.09134	106185.179566	107052.953722
4.0	92994.3877808	93039.9441297	94322.9445323	103304.757212	104496.173046	104658.511845	104878.300324	105458.718541	105714.079468	106184.852549	106208.369256	107103.542624
3.94	93013.6796007	93062.9648236	94344.2994137	103312.414681	104495.058115	104659.993299	104883.100234	105500.405552	105735.983036	106191.041734	106234.306768	107155.253041
3.88	93034.1807259	93087.3374813	94366.9601693	103319.51688	104493.425223	104660.827303	104886.77424	105542.834388	105755.494331	106197.830084	106263.031607	107207.90281
