R	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1
100.0	92704.4683788	93207.81369	94602.8910071	103006.976228	104368.708765	104373.093868	104460.694972	104928.202271	104960.95008	105895.808851	105948.06576	106155.732655
28.0	92704.4266786	93207.7983267	94602.8778386	103006.971839	104368.70657	104373.100452	104460.701556	104928.20666	104960.95008	105895.811046	105948.067955	106155.732655
11.0	92704.5056895	93207.8817271	94602.9722127	103006.936723	104368.781192	104373.124594	104460.778372	104928.320787	104961.013728	105895.861525	105948.173303	106155.835808
9.6	92704.9380545	93208.3382343	94603.4726148	103007.162782	104369.591053	104373.429664	104461.546533	104929.233801	104961.612894	105896.370706	105949.079733	106156.661033
8.79	92705.798395	93209.2600278	94604.4800034	103007.91119	104371.474145	104374.125399	104463.357199	104931.261747	104963.013142	105897.501	105951.177911	106158.528762
8.22	92707.139385	93210.6844181	94606.0097416	103009.368502	104374.068335	104375.920701	104466.309133	104934.540698	104965.396636	105899.342393	105954.579767	106161.586044
7.77	92708.9763877	93212.6179896	94608.1232823	103011.72127	104376.179681	104380.075356	104470.716183	104938.98067	104969.149652	105901.824651	105959.585984	106166.098442
7.31	92712.0841484	93215.8837721	94611.680966	103016.167826	104378.719003	104388.395639	104478.496559	104945.916068	104976.552532	105905.854205	105968.290348	106174.197056
7.1	92714.1186782	93218.0148708	94613.9986181	103019.266808	104380.255325	104393.979074	104483.700303	104949.958791	104982.054761	105908.35841	105973.992298	106179.756348
6.83	92717.5315087	93221.5923072	94617.8679558	103024.657105	104382.724415	104403.328693	104492.523183	104955.913137	104992.242773	105912.341875	105983.377034	106189.479074
6.6	92721.3679253	93225.5977192	94622.1872165	103030.861652	104385.351526	104413.624248	104502.500499	104961.656789	105004.682595	105916.53384	105993.470672	106200.926871
6.39	92725.8386235	93230.2593604	94627.1890433	103038.176742	104388.242007	104425.210314	104514.187523	104967.545293	105019.969003	105921.116471	106004.499272	106214.924963
6.2	92730.9062927	93235.5245567	94632.8075939	103046.442156	104391.314652	104437.663304	104527.478907	104973.58304	105037.779369	105926.00856	106015.940484	106231.517245
6.02	92736.8321077	93241.6566779	94639.3172114	103055.987108	104394.655056	104451.209278	104543.101111	104980.145331	105058.83357	105931.409831	106027.912826	106251.750611
5.86	92743.2275984	93248.2518905	94646.2569992	103066.078551	104397.999849	104464.588452	104560.075279	104986.876618	105081.568947	105936.958149	106039.281611	106274.393809
5.75	92748.3654995	93253.5609818	94651.8667708	103073.990612	104400.504055	104474.409941	104573.77708	104992.117672	105099.706331	105941.248878	106047.375836	106293.018426
5.58	92757.721703	93263.1542179	94661.8857876	103087.929446	104404.706994	104490.348189	104598.788409	105001.460707	105132.300508	105948.776858	106060.138285	106327.568122
5.45	92766.1868395	93271.8234658	94670.8930264	103100.072977	104408.174693	104502.939449	104621.486475	105009.879754	105161.389676	105955.398408	106069.968554	106359.389749
5.33	92775.2818681	93281.0918794	94680.4423676	103112.486462	104411.550213	104514.701094	104645.448715	105018.924304	105191.782522	105962.314053	106079.028467	106393.447822
5.21	92785.750808	93291.7298147	94691.3370882	103126.074136	104415.064002	104526.45396	104672.4002	105029.535902	105225.831816	105970.136129	106088.026927	106432.435295
5.1	92796.7223447	93302.8462048	94702.6532001	103139.547684	104418.369289	104537.116038	104699.661144	105041.06271	105260.425408	105978.267664	106096.208941	106472.842769
5.0	92807.992367	93314.2435223	94714.1800077	103152.692019	104421.411208	104546.641237	104726.42388	105053.546427	105294.764408	105986.614284	106103.614015	106513.702361
4.9	92820.6472742	93327.0103615	94727.023663	103166.516726	104424.439958	104555.931598	104754.551749	105068.470701	105331.868789	105996.075836	106110.957636	106558.714413
4.81	92833.3526605	93339.8101219	94739.8168392	103179.535961	104427.113159	104564.032407	104780.594608	105084.670124	105367.555364	106005.745888	106117.54407	106602.918798
4.72	92847.4034263	93353.9289249	94753.8895525	103193.011704	104429.681012	104571.83034	104806.683558	105104.236287	105405.254521	106016.75693	106124.128309	106650.740125
4.64	92861.1864331	93367.7733845	94767.5781852	103205.297894	104431.838447	104578.399216	104829.289444	105125.119298	105440.240972	106027.910631	106129.994865	106696.362317
4.55	92878.2418066	93384.8924057	94784.4096946	103219.410112	104434.061726	104585.446546	104853.341669	105153.363488	105480.938153	106042.426683	106136.675673	106751.305595
4.48	92892.7359111	93399.4304052	94798.6294558	103230.506749	104435.595853	104590.571279	104870.528727	105179.235158	105513.170197	106055.412997	106141.938675	106796.627107
4.4	92910.7218571	93417.4646355	94816.1742578	103243.214331	104437.086086	104595.990107	104888.178877	105213.30201	105550.173619	106072.485928	106148.112496	106851.232395
4.33	92927.7838148	93434.5748777	94832.7402029	103254.273657	104438.106643	104600.300589	104901.709488	105247.112077	105582.212526	106089.705908	106153.768357	106901.4438
4.26	92946.1604255	93453.0019676	94850.4978952	103265.179352	104438.808962	104604.150174	104913.405291	105284.539085	105613.40426	106109.27646	106159.893894	106953.858732
4.19	92965.9307002	93472.8358899	94869.5219561	103275.83704	104439.138174	104607.475215	104923.305792	105325.335029	105643.208915	106130.95397	106167.219957	107008.402567
4.12	92987.1670655	93494.1490712	94889.878228	103286.147958	104439.032826	104610.214258	104931.476832	105369.118023	105671.075609	106152.157414	106178.768712	107064.941426
4.06	93006.6081282	93513.6691448	94908.4435869	103294.628457	104438.547787	104612.046871	104937.187562	105408.662962	105693.055993	106164.783789	106197.516235	107114.889462
4.0	93027.2343539	93534.3919394	94928.0799821	103302.700734	104437.647941	104613.350551	104941.74605	105449.669602	105713.012821	106173.093099	106223.81588	107166.064362
3.94	93049.0962218	93556.3657393	94948.8356978	103310.296751	104436.293782	104614.074817	104945.198386	105491.701188	105730.799045	106180.342346	106254.520381	107218.316882
3.88	93072.244211	93579.6454134	94970.7590186	103317.339692	104434.441417	104614.169191	104947.570907	105534.224398	105746.357602	106187.751809	106288.470912	107271.469248
3.82	93096.717827	93604.2704668	94993.8850604	103323.759325	104432.040364	104613.57661	104948.876781	105576.604949	105759.727996	106195.841644	106325.110006	107325.30418
3.77	93118.1604983	93625.8557967	95014.1118423	103328.583377	104429.593222	104612.520937	104949.153319	105611.264383	105769.312453	106203.398155	106357.377166	107370.513759
3.72	93140.5886108	93648.4397362	95035.2450544	103332.887275	104426.71591	104610.923161	104948.690227	105644.745237	105777.656879	106211.924745	106390.945811	107415.881359
